category,show_count,click_count,iflow_ctr,label
1,2758,471,0.170775925,1
1,40087,4653,0.116072542,0
1,46197,4720,0.102171137,0
1,47877,7772,0.162332644,1
1,10931,1767,0.161650352,1
1,98699,14949,0.151460501,1
1,21380,2928,0.136950421,1
1,59028,7624,0.129159043,1
1,187649,24093,0.12839397,1
1,232176,29014,0.124965543,1
1,40151,6122,0.152474409,0
1,166017,20626,0.124240289,1
1,150955,22236,0.147302176,1
1,7723,1105,0.143079114,1
1,15123,1853,0.122528599,1
1,1799,218,0.121178432,1
1,41799,5021,0.120122491,1
1,46002,6353,0.138102691,0
1,27492,3284,0.119452932,1
1,14897,2013,0.135127878,1
1,30429,3460,0.113707319,1
1,20584,2308,0.112125923,1
1,147539,19409,0.131551658,0
1,7983,1049,0.131404234,0
1,31107,3481,0.111904073,1
1,60460,7866,0.130102547,1
1,9143,1015,0.11101389,1
1,31249,3445,0.110243528,1
1,1174,128,0.109028961,1
1,67153,8497,0.126531949,1
1,218552,23093,0.105663641,1
1,26891,3359,0.12491168,1
1,8292,836,0.100820068,0
1,8183,947,0.115727728,1
1,55705,6384,0.114603716,0
1,70522,8067,0.114389836,1
1,24213,2729,0.112708049,0
1,60403,6588,0.10906743,1
1,20659,2221,0.107507624,1
1,22140,2361,0.106639566,1
1,130821,13145,0.10048081,1
1,22255,2235,0.10042687,0
1,23280,2322,0.099742268,0
1,11083,1100,0.099251105,0
1,7894,774,0.098049151,0
1,32220,3142,0.09751707,0
1,4091,398,0.097286727,1
1,170329,16404,0.096307734,0
1,176990,16995,0.096022374,0
1,31571,2999,0.09499224,0
1,14315,1341,0.09367796,1
1,40793,3815,0.093520947,0
1,18756,1754,0.093516741,1
1,17460,1616,0.09255441,0
1,6141,556,0.090539,0
1,122555,10589,0.086402024,1
1,10852,930,0.085698489,1
1,33222,2826,0.085064114,0
1,4476,370,0.082663092,1
1,14437,1169,0.080972501,1
1,6743,540,0.080083049,1
1,4177,333,0.079722289,1
1,151191,11549,0.076386822,1
1,27525,1995,0.072479564,0
1,15561,1058,0.067990489,0
1,4128,249,0.060319767,0
1,14443,802,0.05552863,0
1,72254,3978,0.055055775,0
2,53933,10374,0.192349767,0
2,109587,19592,0.17878033,0
2,53103,7617,0.143438224,0
2,132979,17197,0.129321171,0
2,254010,40857,0.160847998,0
2,81425,10402,0.127749463,0
2,98685,12451,0.126169124,0
